"medcodeid","term","condition"
"2196071000000116","Baseline body mass index (observable entity)","Q code group body mass index"
"8286991000006119","Baseline body mass index (observable entity)","Q code group body mass index"
"100716012","Body mass index (observable entity)","Q code group body mass index"
"3484781000006110","Body mass index (observable entity)","Q code group body mass index"
"3484791000006113","Body mass index (observable entity)","Q code group body mass index"
"3484801000006114","Body mass index (observable entity)","Q code group body mass index"
"3484811000006112","Body mass index (observable entity)","Q code group body mass index"
"923861000006112","Body mass index (observable entity)","Q code group body mass index"
"11923361000006119","Finding of body mass index (finding)","Q code group body mass index"
"5892201000006119","Finding of body mass index (finding)","Q code group body mass index"
"5892211000006116","Finding of body mass index (finding)","Q code group body mass index"
