"medcodeid","term","condition"
"8290381000006115","Cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"6279001000006116","Finding of cholesterol level (finding)","Q code group Total cholesterol level (value)"
"6279011000006118","Finding of cholesterol level (finding)","Q code group Total cholesterol level (value)"
"6279021000006114","Finding of cholesterol level (finding)","Q code group Total cholesterol level (value)"
"6279031000006112","Finding of serum cholesterol level (finding)","Q code group Total cholesterol level (value)"
"6279041000006119","Finding of serum cholesterol level (finding)","Q code group Total cholesterol level (value)"
"6279051000006117","Finding of serum cholesterol level (finding)","Q code group Total cholesterol level (value)"
"1484985012","Plasma total cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"150921000006118","Serum cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"259252011","Serum cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"259239018","Serum cholesterol studies (observable entity)","Q code group Total cholesterol level (value)"
"11928201000006115","Serum fasting total cholesterol (procedure)","Q code group Total cholesterol level (value)"
"405621000000116","Serum fasting total cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"8460471000006113","Serum fasting total cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"2478443019","Serum total cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
"12620751000006110","Substance concentration of cholesterol in plasma (observable entity)","Q code group Total cholesterol level (value)"
"12620761000006112","Substance concentration of cholesterol in plasma (observable entity)","Q code group Total cholesterol level (value)"
"12620771000006117","Substance concentration of cholesterol in serum (observable entity)","Q code group Total cholesterol level (value)"
"12620781000006119","Substance concentration of cholesterol in serum (observable entity)","Q code group Total cholesterol level (value)"
"8292941000006114","Total cholesterol level (observable entity)","Q code group Total cholesterol level (value)"
