"medcodeid","term","condition"
"459309011","Arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"459310018","Arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"459311019","Arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84491000006118","Arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84861000006112","Arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"7306751000006110","Brittle type II diabetes mellitus (finding)","Q code group Type 2 diabetes "
"7306761000006112","Brittle type II diabetes mellitus (finding)","Q code group Type 2 diabetes "
"7306771000006117","Brittle type II diabetes mellitus (finding)","Q code group Type 2 diabetes "
"7306781000006119","Brittle type II diabetes mellitus (finding)","Q code group Type 2 diabetes "
"12332101000006118","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"12332111000006115","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"12702391000006115","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"281161000006114","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"6959801000006112","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"6959811000006110","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"84501000006114","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"84871000006117","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"914301000006111","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"914311000006114","Cataract of eye due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"8120391000006114","Cheiroarthropathy due to diabetes mellitus type 2 (disorder)","Q code group Type 2 diabetes "
"292488013","Coma due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6964251000006119","Coma due to malnutrition-related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"719541000006111","Coma due to malnutrition-related diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"13811000006110","Complication due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292617015","Complication due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292622015","Complication due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292626017","Complication due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"3712861000006110","Complication due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"1495356017","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"3029639016","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
"3029742016","Congenital total lipodystrophy (disorder)","Q code group Type 2 diabetes "
